品种：苹果AP     日期：2021-04-06,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
19,徽商期货,"47,379","1,473",华安期货,"36,420","7,536"
20,浙商期货,"45,396","5,007",宏源期货,"35,462",-446
合计,,"1,541,406","5,828",,"1,917,599","4,829"
品种：尿素UR     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,永安期货,"9,937",-156,永安期货,"10,966",-294
2,五矿经易期货,"8,690",-480,五矿经易期货,"8,666",-477
3,中信期货,"8,242",-62,国泰君安,"5,662",-546
4,招商期货,"4,304",-4,银河期货,"4,635",160
5,东证期货,"3,842","1,552",宏源期货,"4,031","-1,080"
6,国泰君安,"3,562",-167,格林大华期货,"3,967","1,961"
7,招金期货,"3,544",119,东海期货,"3,590",236
8,中信建投,"3,539",131,东方汇金期货,"3,562","1,636"
9,东海期货,"3,448",40,中信期货,"3,558",-6
10,一德期货,"3,369",-67,国贸期货,"3,224",-67
11,银河期货,"3,036",-52,招商期货,"2,879",-102
12,西南期货,"2,727","1,515",光大期货,"2,693",807
13,光大期货,"2,687",334,徽商期货,"2,274",-250
14,建信期货,"2,667",-43,鲁证期货,"2,262",-237
15,中辉期货,"2,626",-38,兴证期货,"2,108",-34
16,美尔雅,"2,566",-40,中信建投,"2,073",-96
17,华泰期货,"2,500",641,华安期货,"1,896",-235
18,兴证期货,"2,326",594,东吴期货,"1,797",282
19,中融汇信,"2,263",15,招金期货,"1,726",27
20,方正中期,"2,012",-417,华泰期货,"1,720",-498
合计,,"77,887","3,415",,"73,289","1,187"
品种：强麦WH     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,国投安信期货,237,0,国泰君安,323,0
2,国泰君安,160,-2,中信建投,260,-2
3,中信建投,132,0,永安期货,89,-1
4,中原期货,30,0,中财期货,66,0
5,中天期货,27,0,华融融达期货,39,0
6,兴证期货,24,-2,长江期货,13,-2
7,东航期货,21,7,东航期货,12,0
8,华安期货,19,0,申银万国,5,0
9,新晟期货,16,0,平安期货,4,0
10,徽商期货,15,-1,中原期货,3,3
11,永安期货,15,0,徽商期货,2,0
12,招商期货,10,1,招商期货,1,1
13,海通期货,8,0,方正中期,1,0
14,上海中期,8,1,鲁证期货,1,0
15,恒泰期货,8,8,中粮期货,1,1
16,申银万国,7,-1,光大期货,1,0
17,上海大陆,6,0,华安期货,1,0
18,银河期货,6,0,恒泰期货,1,0
19,宝城期货,5,-1,晟鑫期货,0,0
20,中信期货,5,0,华泰期货,0,0
合计,,759,10,,823,0
品种：动力煤ZC     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中信期货,"40,640",424,永安期货,"25,408",614
2,华泰期货,"27,181",-397,一德期货,"21,027","3,225"
3,国泰君安,"17,042","1,103",中信期货,"19,329",169
4,银河期货,"13,733",849,银河期货,"17,472","-1,308"
5,宏源期货,"12,497",-47,国泰君安,"16,901",-464
6,海通期货,"12,084","1,016",国投安信期货,"16,438","2,196"
7,东证期货,"11,064","-1,481",光大期货,"12,766",274
8,一德期货,"10,588","-1,576",中大期货,"10,871","-1,092"
9,永安期货,"10,484",708,鲁证期货,"10,077",458
10,申银万国,"7,570",379,美尔雅,"9,893",115
11,兴证期货,"7,470","2,111",国联期货,"9,478",-475
12,鲁证期货,"6,373","-1,034",华泰期货,"9,345",-437
13,招商期货,"6,014",159,东证期货,"8,812",-879
14,宝城期货,"5,739",27,方正中期,"8,213","-1,184"
15,瑞达期货,"5,647",82,徽商期货,"7,777",226
16,方正中期,"5,545",258,东方财富,"7,652",226
17,国投安信期货,"5,440",-949,中信建投,"6,537","-1,757"
18,中信建投,"5,388",-818,宝城期货,"5,736",303
19,光大期货,"5,208",-43,上海东亚,"5,696",66
20,广发期货,"5,103",-735,瑞达期货,"5,556",757
合计,,"220,810",36,,"234,984","1,033"
合约：AP105     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,华泰期货,"6,231",13,徽商期货,"8,284",407
2,永安期货,"5,483",855,鲁证期货,"7,389",-642
3,宏源期货,"5,068",56,方正中期,"6,628",-194
4,方正中期,"4,874",177,华安期货,"6,339",-516
5,一德期货,"4,721",352,国富期货,"6,241",-217
6,申银万国,"4,384",119,宏源期货,"4,597",162
7,中信期货,"3,946",-119,银河期货,"4,479",153
8,徽商期货,"3,890",-67,永安期货,"4,160",438
9,鲁证期货,"3,814",313,创元期货,"3,920",-406
10,先锋期货,"3,771",850,申银万国,"3,800",144
11,国泰君安,"3,672",-171,渤海期货,"3,774",164
12,银河期货,"3,595",-164,光大期货,"3,674",492
13,东证期货,"3,307",65,国贸期货,"3,260",88
14,浙商期货,"3,128",-129,大越期货,"3,216",-67
15,中大期货,"2,863",-72,东证期货,"3,128",187
16,中辉期货,"2,797",50,一德期货,"2,952",-91
17,国信期货,"2,731",11,海通期货,"2,900",357
18,东吴期货,"2,729",23,华泰期货,"2,763",-773
19,光大期货,"2,721",-101,长安期货,"2,659",81
20,英大期货,"2,683",77,中信期货,"2,617",248
合计,,"76,408","2,138",,"86,780",15
合约：AP110     日期：2021-04-06,,,,,,
